task,checkpoint,split,episode,boundary,direction,target_budget,actual_budget,metric_name,noise_block,sample_count,value
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,5,0,D_all,0.001,4.806476135854609e-05,gaussian_kl_exec_normalized,none,1,4.806476135854609e-05
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,5,0,D_all,0.001,4.806476135854609e-05,direct_mu_l2_normalized,none,1,0.0019133128225803375
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,5,0,D_all,0.001,4.806476135854609e-05,fixed_tape_action_l2,paired,64,1.4172335795592517e-05
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,5,0,D_all,0.001,4.806476135854609e-05,reference_mmd2_unbiased,A,64,0.0013036576528397817
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,5,0,D_all,0.001,4.806476135854609e-05,reference_mmd2_unbiased,B,64,0.0006378416031125992
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,5,0,D_all,0.001,4.806476135854609e-05,reference_energy_distance,A,64,0.0006870234769488226
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,5,0,D_all,0.001,4.806476135854609e-05,reference_energy_distance,B,64,0.0005215945697966129
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,5,0,D_all,0.001,4.806476135854609e-05,ratio_mean,frozen_chain,10,0.9968600273132324
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,5,0,D_all,0.001,4.806476135854609e-05,ratio_out_of_clip,frozen_chain,10,0.2
square,/mnt/d/AgentData/DPPO-P5-A/formal_run_20260914_074500/robomimic-finetune/square_ft_diffusion_mlp_ta4_td20_tdf10/2026-09-14_07-43-43_42/checkpoint/state_200.pt,FIT,5,0,D_all,0.001,4.806476135854609e-05,ppo_blocked_fraction,frozen_chain,10,0.2
