[2026-09-11 11:27:48,600][root][INFO] - Loaded SL-trained policy from /mnt/d/Desktop/my_project/paper_reproduction/DPPO/checkpoints/official/hopper_medium_pre_diffusion_mlp_ta4_td20_state_3000.pt
[2026-09-11 11:27:48,601][root][INFO] - Number of network parameters: 553020
[2026-09-11 11:27:48,823][root][INFO] - Cloned model for fine-tuning
[2026-09-11 11:27:48,824][root][INFO] - Turned off gradients of the pretrained network
[2026-09-11 11:27:48,825][root][INFO] - Number of finetuned parameters: 553020
[2026-09-11 11:28:02,680][agent.finetune.train_agent][INFO] - Saved model to /mnt/d/Desktop/my_project/paper_reproduction/DPPO/logs/gym-finetune/hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10/2026-09-11_11-27-25_42/checkpoint/state_0.pt
[2026-09-11 11:28:02,681][agent.finetune.train_ppo_diffusion_agent][INFO] - [PERF] itr=0 rollout_s=13.807105 prep_s=0.000000 update_s=0.000000 total_s=13.832905
[2026-09-11 11:28:46,215][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 4.45161049356102e-06, update_epoch: 2, num_batch: 4
[2026-09-11 11:28:46,280][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 5.61143997401814e-06, update_epoch: 2, num_batch: 4
[2026-09-11 11:28:46,344][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 6.585164555872325e-06, update_epoch: 2, num_batch: 4
[2026-09-11 11:28:46,407][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 7.346081474679522e-06, update_epoch: 3, num_batch: 4
[2026-09-11 11:28:46,471][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 7.964030373841524e-06, update_epoch: 3, num_batch: 4
[2026-09-11 11:28:46,534][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 8.595765393693e-06, update_epoch: 3, num_batch: 4
[2026-09-11 11:28:46,597][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 8.948685717768967e-06, update_epoch: 3, num_batch: 4
[2026-09-11 11:28:46,661][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 9.300313649873715e-06, update_epoch: 4, num_batch: 4
[2026-09-11 11:28:46,722][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 9.721366041048896e-06, update_epoch: 4, num_batch: 4
[2026-09-11 11:28:46,788][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 9.936570677382406e-06, update_epoch: 4, num_batch: 4
[2026-09-11 11:28:46,854][agent.finetune.train_ppo_diffusion_agent][INFO] - approx_kl: 1.0227753591607325e-05, update_epoch: 4, num_batch: 4
[2026-09-11 11:28:46,891][agent.finetune.train_agent][INFO] - Saved model to /mnt/d/Desktop/my_project/paper_reproduction/DPPO/logs/gym-finetune/hopper-medium-v2_ppo_diffusion_mlp_ta4_td20_tdf10/2026-09-11_11-27-25_42/checkpoint/state_3.pt
[2026-09-11 11:28:46,892][agent.finetune.train_ppo_diffusion_agent][INFO] - [PERF] itr=3 rollout_s=12.853562 prep_s=0.173287 update_s=1.279764 total_s=14.332120
[2026-09-11 11:28:46,893][agent.finetune.train_ppo_diffusion_agent][INFO] - 3: step   240000 | loss   0.0163 | pg loss  -0.0004 | value loss   0.0335 | bc loss   0.0000 | reward 1282.2601 | eta   1.0000 | t: 14.3362
